title,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,vote_average,vote_count,director
Avatar,237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,150.437577,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']","['United States of America', 'United Kingdom']",2009-12-10,2787965087,7.2,11800,James Cameron
Pirates of the Caribbean: At World's End,300000000,"['Adventure', 'Fantasy', 'Action']",en,139.082615,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America'],2007-05-19,961000000,6.9,4500,Gore Verbinski
Spectre,245000000,"['Action', 'Adventure', 'Crime']",en,107.376788,"['Columbia Pictures', 'Danjaq', 'B24']","['United Kingdom', 'United States of America']",2015-10-26,880674609,6.3,4466,Sam Mendes
The Dark Knight Rises,250000000,"['Action', 'Crime', 'Drama', 'Thriller']",en,112.31295,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",['United States of America'],2012-07-16,1084939099,7.6,9106,Christopher Nolan
John Carter,260000000,"['Action', 'Adventure', 'Science Fiction']",en,43.926995,['Walt Disney Pictures'],['United States of America'],2012-03-07,284139100,6.1,2124,Andrew Stanton
Spider-Man 3,258000000,"['Fantasy', 'Action', 'Adventure']",en,115.699814,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2007-05-01,890871626,5.9,3576,Sam Raimi
Tangled,260000000,"['Animation', 'Family']",en,48.681969,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],2010-11-24,591794936,7.4,3330,Byron Howard
Avengers: Age of Ultron,280000000,"['Action', 'Adventure', 'Science Fiction']",en,134.279229,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America'],2015-04-22,1405403694,7.3,6767,Joss Whedon
Harry Potter and the Half-Blood Prince,250000000,"['Adventure', 'Fantasy', 'Family']",en,98.885637,"['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']",2009-07-07,933959197,7.4,5293,David Yates
Batman v Superman: Dawn of Justice,250000000,"['Action', 'Adventure', 'Fantasy']",en,155.790452,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",['United States of America'],2016-03-23,873260194,5.7,7004,Zack Snyder
